Target,Source
0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4
0QHgL1lAIqAw0HtD7YldmP,5f7VJjfbwm532GiveGC0ZK
3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK
6jeg7JBX9J9097esK752iR,3TVXtAsR1Inumwj472S9r4
0hCNtLu0JehylgoiP8L4Gh,3TVXtAsR1Inumwj472S9r4
0hCNtLu0JehylgoiP8L4Gh,55Aa2cqylxrFIXC767Z865
3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865
55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4
3KNIG74xSTc3dj0TRy7pGX,3TVXtAsR1Inumwj472S9r4
3TVXtAsR1Inumwj472S9r4,3hcs9uc56yIGFCSy9leWe7
62DmErcU7dqZbJaDqwsqzR,3TVXtAsR1Inumwj472S9r4
62DmErcU7dqZbJaDqwsqzR,2HPaUgqeutzr3jx5a9WyDV
3TVXtAsR1Inumwj472S9r4,2HPaUgqeutzr3jx5a9WyDV
6UCQYrcJ6wab6gnQ89OJFh,3TVXtAsR1Inumwj472S9r4
0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4
0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4
2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4
2HPaUgqeutzr3jx5a9WyDV,4q3ewBCX7sLwd24euuV69X
3TVXtAsR1Inumwj472S9r4,4q3ewBCX7sLwd24euuV69X
1RyvyyTE3xzB2ZywiAwp0i,3TVXtAsR1Inumwj472S9r4
2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4
2UMj7NCbuqy1yUZmiSYGjJ,3TVXtAsR1Inumwj472S9r4
4TEJudQY2pXxVHPE3gD2EU,3TVXtAsR1Inumwj472S9r4
0hCNtLu0JehylgoiP8L4Gh,3TVXtAsR1Inumwj472S9r4
0hCNtLu0JehylgoiP8L4Gh,55Aa2cqylxrFIXC767Z865
3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865
0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4
1Xyo4u8uXC1ZmMpatF05PJ,3TVXtAsR1Inumwj472S9r4
1RyvyyTE3xzB2ZywiAwp0i,687cZJR45JO7jhk1LHIbgq
1RyvyyTE3xzB2ZywiAwp0i,687cZJR45JO7jhk1LHIbgq
6oMuImdp5ZcFhWP0ESe6mG,6i392l38cR3uBPF0DbNs7S
6oMuImdp5ZcFhWP0ESe6mG,0VRj0yCOv2FXJNP47XQnx5
6i392l38cR3uBPF0DbNs7S,0VRj0yCOv2FXJNP47XQnx5
6oMuImdp5ZcFhWP0ESe6mG,6i392l38cR3uBPF0DbNs7S
6oMuImdp5ZcFhWP0ESe6mG,3EW0kQ1skZiK1NHg3Spt9J
6i392l38cR3uBPF0DbNs7S,3EW0kQ1skZiK1NHg3Spt9J
6oMuImdp5ZcFhWP0ESe6mG,6i392l38cR3uBPF0DbNs7S
6oMuImdp5ZcFhWP0ESe6mG,4DdkRBBYG6Yk9Ka8tdJ9BW
6i392l38cR3uBPF0DbNs7S,4DdkRBBYG6Yk9Ka8tdJ9BW
1xr2G8Hlx4QWmT9HaUbmoO,50co4Is1HCEo8bhOyUWKpn
1xr2G8Hlx4QWmT9HaUbmoO,2hlmm7s2ICUX0LVIhVFlZQ
50co4Is1HCEo8bhOyUWKpn,2hlmm7s2ICUX0LVIhVFlZQ
1xr2G8Hlx4QWmT9HaUbmoO,50co4Is1HCEo8bhOyUWKpn
1xr2G8Hlx4QWmT9HaUbmoO,2hlmm7s2ICUX0LVIhVFlZQ
50co4Is1HCEo8bhOyUWKpn,2hlmm7s2ICUX0LVIhVFlZQ
1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp
1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp
6icQOAFXDZKsumw3YXyusw,4r63FhuTkUYltbVAg5TQnk
1RyvyyTE3xzB2ZywiAwp0i,4r63FhuTkUYltbVAg5TQnk
0iEtIxbK0KxaSlF7G42ZOp,1URnnhqYAYcrqrcwql10ft
0701LAQrkY5Il5vt06uNnC,0NWbwDZY1VkRqFafuQm6wk
5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ
5wPoxI5si3eJsYYwyXV4Wi,5pKCCKE2ajJHZ9KAiaK11H
1RyvyyTE3xzB2ZywiAwp0i,13y7CgLHjMVRMDqxdx0Xdo
5lHRUCqkQZCIWeX7xG4sYT,35sCXuy5gN6Or69rZ9vqBs
5lHRUCqkQZCIWeX7xG4sYT,50co4Is1HCEo8bhOyUWKpn
35sCXuy5gN6Or69rZ9vqBs,50co4Is1HCEo8bhOyUWKpn
0GM7qgcRCORpGnfcN2tCiB,4q3ewBCX7sLwd24euuV69X
0GM7qgcRCORpGnfcN2tCiB,2QWIScpFDNxmS6ZEMIUvgm
4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm
1qto4hHid1P71emI6Fd8xi,4q3ewBCX7sLwd24euuV69X
0Q8NcsJwoCbZOHHW63su5S,4q3ewBCX7sLwd24euuV69X
0Q8NcsJwoCbZOHHW63su5S,77ziqFxp5gaInVrF2lj4ht
4q3ewBCX7sLwd24euuV69X,77ziqFxp5gaInVrF2lj4ht
5hdhHgpxyniooUiQVaPxQ0,1vyhD5VmyZ7KMfW5gqLgo5
5hdhHgpxyniooUiQVaPxQ0,4q3ewBCX7sLwd24euuV69X
1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,4axKuDPr6WKcDCyh8vueTY
4q3ewBCX7sLwd24euuV69X,0EFisYRi20PTADoJrifHrz
4q3ewBCX7sLwd24euuV69X,0f6U482Lbo91QNqNFH4Tat
4q3ewBCX7sLwd24euuV69X,6p2442ymrT9lZEuCZJdYcH
0f6U482Lbo91QNqNFH4Tat,6p2442ymrT9lZEuCZJdYcH
1vyhD5VmyZ7KMfW5gqLgo5,6M2wZ9GZgrQXHCFfjv46we
1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X
6M2wZ9GZgrQXHCFfjv46we,4q3ewBCX7sLwd24euuV69X
6nVcHLIgY5pE2YCl8ubca1,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,77ziqFxp5gaInVrF2lj4ht
7slfeZO9LsJbWgpkIoXBUJ,5GcWBUX00IPuWVGMIRK1sS
7slfeZO9LsJbWgpkIoXBUJ,4q3ewBCX7sLwd24euuV69X
5GcWBUX00IPuWVGMIRK1sS,4q3ewBCX7sLwd24euuV69X
0elWFr7TW8piilVRYJUe4P,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,65jIUih0ZeTUJhSTRuYxpi
4q3ewBCX7sLwd24euuV69X,2e5kXDvESsDPMyuQZ0qouH
65jIUih0ZeTUJhSTRuYxpi,2e5kXDvESsDPMyuQZ0qouH
5XJDexmWFLWOkjOEjOVX3e,4q3ewBCX7sLwd24euuV69X
5GcWBUX00IPuWVGMIRK1sS,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,7iK8PXO48WeuP03g8YR51W
4q3ewBCX7sLwd24euuV69X,0GM7qgcRCORpGnfcN2tCiB
0EFisYRi20PTADoJrifHrz,1vyhD5VmyZ7KMfW5gqLgo5
0EFisYRi20PTADoJrifHrz,4q3ewBCX7sLwd24euuV69X
1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X
47MpMsUfWtgyIIBEFOr4FE,4VMYDCV2IEDYJArk749S6m
47MpMsUfWtgyIIBEFOr4FE,4q3ewBCX7sLwd24euuV69X
4VMYDCV2IEDYJArk749S6m,4q3ewBCX7sLwd24euuV69X
2DlGxzQSjYe5N6G9nkYghR,4q3ewBCX7sLwd24euuV69X
4wLXwxDeWQ8mtUIRPxGiD6,41qil2VaGbD194gaEcmmyx
4wLXwxDeWQ8mtUIRPxGiD6,4q3ewBCX7sLwd24euuV69X
41qil2VaGbD194gaEcmmyx,4q3ewBCX7sLwd24euuV69X
03Enzet8KLMkjdeQnbqbmn,4VMYDCV2IEDYJArk749S6m
03Enzet8KLMkjdeQnbqbmn,4q3ewBCX7sLwd24euuV69X
4VMYDCV2IEDYJArk749S6m,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,2TjgzYcbTdsZjbT9OItIeB
4q3ewBCX7sLwd24euuV69X,2OHKEe204spO7G7NcbeO2o
4q3ewBCX7sLwd24euuV69X,0AdjzZxHJ4MfbImx2rD0Df
2OHKEe204spO7G7NcbeO2o,0AdjzZxHJ4MfbImx2rD0Df
1SupJlEpv7RS2tPNRaHViT,4q3ewBCX7sLwd24euuV69X
1SupJlEpv7RS2tPNRaHViT,4SsVbpTthjScTS7U2hmr1X
4q3ewBCX7sLwd24euuV69X,4SsVbpTthjScTS7U2hmr1X
4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X
4kYSro6naA4h99UJvo89HB,4q3ewBCX7sLwd24euuV69X
4kYSro6naA4h99UJvo89HB,1vyhD5VmyZ7KMfW5gqLgo5
4q3ewBCX7sLwd24euuV69X,1vyhD5VmyZ7KMfW5gqLgo5
1ZTqusXWkfiTeOciFTpphG,6w9ToX5slZ4uIdmD17hJ3c
1ZTqusXWkfiTeOciFTpphG,4q3ewBCX7sLwd24euuV69X
6w9ToX5slZ4uIdmD17hJ3c,4q3ewBCX7sLwd24euuV69X
5hdhHgpxyniooUiQVaPxQ0,1fux65HMCBvfJHqlBc4Nno
5hdhHgpxyniooUiQVaPxQ0,4q3ewBCX7sLwd24euuV69X
1fux65HMCBvfJHqlBc4Nno,4q3ewBCX7sLwd24euuV69X
0eHQ9o50hj6ZDNBt6Ys1sD,4q3ewBCX7sLwd24euuV69X
0eHQ9o50hj6ZDNBt6Ys1sD,3RtNN1VnooWEn3KQk03DUL
4q3ewBCX7sLwd24euuV69X,3RtNN1VnooWEn3KQk03DUL
2wYOpkTJZGByNEOjEnSmoW,1vyhD5VmyZ7KMfW5gqLgo5
2wYOpkTJZGByNEOjEnSmoW,4q3ewBCX7sLwd24euuV69X
1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X
4m6ubhNsdwF4psNf3R8kwR,4q3ewBCX7sLwd24euuV69X
4m6ubhNsdwF4psNf3R8kwR,1bAftSH8umNcGZ0uyV7LMg
4q3ewBCX7sLwd24euuV69X,1bAftSH8umNcGZ0uyV7LMg
0OROVBEZCocg0FcgJpyBse,4q3ewBCX7sLwd24euuV69X
5gUZ67Vzi1FV2SnrWl1GlE,4VMYDCV2IEDYJArk749S6m
5gUZ67Vzi1FV2SnrWl1GlE,4q3ewBCX7sLwd24euuV69X
4VMYDCV2IEDYJArk749S6m,4q3ewBCX7sLwd24euuV69X
1GDbiv3spRmZ1XdM1jQbT7,4q3ewBCX7sLwd24euuV69X
0pxWSJ3TbIRuGPJnmxCfBe,7viqvBP4uYljgKcqYfLkvu
0pxWSJ3TbIRuGPJnmxCfBe,4q3ewBCX7sLwd24euuV69X
7viqvBP4uYljgKcqYfLkvu,4q3ewBCX7sLwd24euuV69X
0pxWSJ3TbIRuGPJnmxCfBe,7viqvBP4uYljgKcqYfLkvu
0pxWSJ3TbIRuGPJnmxCfBe,4q3ewBCX7sLwd24euuV69X
7viqvBP4uYljgKcqYfLkvu,4q3ewBCX7sLwd24euuV69X
329e4yvIujISKGKz1BZZbO,0hCNtLu0JehylgoiP8L4Gh
329e4yvIujISKGKz1BZZbO,4q3ewBCX7sLwd24euuV69X
0hCNtLu0JehylgoiP8L4Gh,4q3ewBCX7sLwd24euuV69X
0pxWSJ3TbIRuGPJnmxCfBe,7viqvBP4uYljgKcqYfLkvu
0pxWSJ3TbIRuGPJnmxCfBe,4q3ewBCX7sLwd24euuV69X
7viqvBP4uYljgKcqYfLkvu,4q3ewBCX7sLwd24euuV69X
329e4yvIujISKGKz1BZZbO,0hCNtLu0JehylgoiP8L4Gh
329e4yvIujISKGKz1BZZbO,4q3ewBCX7sLwd24euuV69X
0hCNtLu0JehylgoiP8L4Gh,4q3ewBCX7sLwd24euuV69X
790FomKkXshlbRYZFtlgla,4q3ewBCX7sLwd24euuV69X
790FomKkXshlbRYZFtlgla,0VRj0yCOv2FXJNP47XQnx5
4q3ewBCX7sLwd24euuV69X,0VRj0yCOv2FXJNP47XQnx5
4VMYDCV2IEDYJArk749S6m,4q3ewBCX7sLwd24euuV69X
4obzFoKoKRHIphyHzJ35G3,4q3ewBCX7sLwd24euuV69X
6kq4GHwUcUojGIu0ziSNXf,4q3ewBCX7sLwd24euuV69X
6kq4GHwUcUojGIu0ziSNXf,68w2t0wbrGnxSIUHzWs5bt
4q3ewBCX7sLwd24euuV69X,68w2t0wbrGnxSIUHzWs5bt
738wLrAtLtCtFOLvQBXOXp,4nDoRrQiYLoBzwC5BhVJzF
738wLrAtLtCtFOLvQBXOXp,4q3ewBCX7sLwd24euuV69X
4nDoRrQiYLoBzwC5BhVJzF,4q3ewBCX7sLwd24euuV69X
2ayNSoKPCRAfjp6hQ76hRu,0eHQ9o50hj6ZDNBt6Ys1sD
2ayNSoKPCRAfjp6hQ76hRu,4q3ewBCX7sLwd24euuV69X
0eHQ9o50hj6ZDNBt6Ys1sD,4q3ewBCX7sLwd24euuV69X
4obzFoKoKRHIphyHzJ35G3,4q3ewBCX7sLwd24euuV69X
00XhexlJEXQstHimpZN910,4q3ewBCX7sLwd24euuV69X
0iwRZ9bQya1TDUAk5qN5YX,0tR60pwxQ5WKjPxQcKoCQ7
0iwRZ9bQya1TDUAk5qN5YX,4q3ewBCX7sLwd24euuV69X
0tR60pwxQ5WKjPxQcKoCQ7,4q3ewBCX7sLwd24euuV69X
1SupJlEpv7RS2tPNRaHViT,1i8SpTcr7yvPOmcqrbnVXY
1SupJlEpv7RS2tPNRaHViT,4q3ewBCX7sLwd24euuV69X
1i8SpTcr7yvPOmcqrbnVXY,4q3ewBCX7sLwd24euuV69X
6w9ToX5slZ4uIdmD17hJ3c,4q3ewBCX7sLwd24euuV69X
790FomKkXshlbRYZFtlgla,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,329e4yvIujISKGKz1BZZbO
4q3ewBCX7sLwd24euuV69X,2T1aUibqR2QC2sINIDQOAK
4q3ewBCX7sLwd24euuV69X,64aJYyrXljOodnUG6jvhRD
2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD
2dYSrA999b3VYp5V4J12T7,1jSjfSgDjedJdi5MoyRu78
2dYSrA999b3VYp5V4J12T7,4q3ewBCX7sLwd24euuV69X
1jSjfSgDjedJdi5MoyRu78,4q3ewBCX7sLwd24euuV69X
1RBzGO6Nm3uyhUSxP7EDWO,4q3ewBCX7sLwd24euuV69X
5lFhCi03HDneWzvCxGctrT,4q3ewBCX7sLwd24euuV69X
3RtNN1VnooWEn3KQk03DUL,4q3ewBCX7sLwd24euuV69X
3RtNN1VnooWEn3KQk03DUL,6P6GTRTigHBp8ZesNtpCKH
4q3ewBCX7sLwd24euuV69X,6P6GTRTigHBp8ZesNtpCKH
14zUHaJZo1mnYtn6IBRaRP,4q3ewBCX7sLwd24euuV69X
14zUHaJZo1mnYtn6IBRaRP,6P6GTRTigHBp8ZesNtpCKH
4q3ewBCX7sLwd24euuV69X,6P6GTRTigHBp8ZesNtpCKH
2wYOpkTJZGByNEOjEnSmoW,4q3ewBCX7sLwd24euuV69X
2wYOpkTJZGByNEOjEnSmoW,6w9ToX5slZ4uIdmD17hJ3c
4q3ewBCX7sLwd24euuV69X,6w9ToX5slZ4uIdmD17hJ3c
4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X
4q3ewBCX7sLwd24euuV69X,1i8SpTcr7yvPOmcqrbnVXY
